id_registro,codigo_equipo,fecha,tipo_mantenimiento,categoria_falla,urgencia,descripcion,costo_soles,tecnico,prioridad,horas_intervencion,estado_post
R00440,EQ-007,2023-12-28,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,480.44,A. Flores,Alta,3.2,Operativo
R00393,EQ-007,2023-12-31,Preventivo,—,Programado,Mantenimiento preventivo programado,164.66,M. Torres,Baja,1.8,Operativo
R00394,EQ-007,2024-03-21,Preventivo,—,Programado,Mantenimiento preventivo programado,123.83,M. Torres,Baja,0.8,Operativo
R00413,EQ-007,2024-04-01,Correctivo,Desgaste,Alta,Acumulación de horas de uso,670.11,L. Quispe,Alta,2.3,Operativo
R00404,EQ-007,2024-04-24,Correctivo,Sensores,Media,Sensor de flujo defectuoso,1594.0,J. Ramírez,Media,3.1,Operativo
R00439,EQ-007,2024-05-31,Correctivo,Sensores,Alta,Error de lectura de presión,2055.81,L. Quispe,Alta,4.4,Operativo
R00442,EQ-007,2024-06-08,Correctivo,Eléctrica,Alta,Falla en fuente de poder,680.78,M. Torres,Alta,4.6,Operativo
R00395,EQ-007,2024-06-24,Preventivo,—,Programado,Mantenimiento preventivo programado,75.83,M. Torres,Baja,1.1,Operativo
R00424,EQ-007,2024-07-06,Correctivo,Sensores,Media,Sensor de flujo defectuoso,1431.74,L. Quispe,Media,7.5,Operativo
R00419,EQ-007,2024-07-28,Correctivo,Eléctrica,Alta,Fusible quemado,841.42,L. Quispe,Alta,5.4,En observación
R00437,EQ-007,2024-08-05,Correctivo,Software,Media,Falla en calibración digital,571.53,M. Torres,Media,4.0,En observación
R00422,EQ-007,2024-08-26,Correctivo,Mecánica,Media,Holgura en soporte,966.43,A. Flores,Media,2.0,Operativo
R00425,EQ-007,2024-09-10,Correctivo,Eléctrica,Alta,Falla en cargador,233.15,A. Flores,Alta,7.8,Operativo
R00396,EQ-007,2024-09-21,Preventivo,—,Programado,Mantenimiento preventivo programado,116.9,A. Flores,Baja,0.9,Operativo
R00397,EQ-007,2024-12-10,Preventivo,—,Programado,Mantenimiento preventivo programado,135.95,A. Flores,Baja,0.7,Operativo
R00430,EQ-007,2024-12-26,Correctivo,Mecánica,Alta,Obstrucción de circuito,978.52,J. Ramírez,Alta,5.4,Operativo
R00421,EQ-007,2025-01-01,Correctivo,Eléctrica,Alta,Falla en cargador,393.62,J. Ramírez,Alta,1.8,Operativo
R00412,EQ-007,2025-01-24,Correctivo,Calibración,Alta,Ajuste de cero requerido,263.23,J. Ramírez,Alta,1.6,Operativo
R00429,EQ-007,2025-02-24,Correctivo,Mecánica,Baja,Falla en bomba peristáltica,1791.76,J. Ramírez,Baja,1.3,Operativo
R00398,EQ-007,2025-03-16,Preventivo,—,Programado,Mantenimiento preventivo programado,138.8,A. Flores,Baja,1.5,Operativo
R00410,EQ-007,2025-05-24,Correctivo,Mecánica,Alta,Desgaste de válvula,1622.95,L. Quispe,Alta,3.8,Operativo
R00399,EQ-007,2025-06-05,Preventivo,—,Programado,Mantenimiento preventivo programado,137.29,J. Ramírez,Baja,2.0,Operativo
R00409,EQ-007,2025-07-08,Correctivo,Desgaste,Alta,Componente al final de vida útil,1129.91,L. Quispe,Alta,7.4,Operativo
R00426,EQ-007,2025-07-08,Correctivo,Eléctrica,Alta,Falla en fuente de poder,600.51,J. Ramírez,Alta,3.2,Operativo
R00435,EQ-007,2025-08-17,Correctivo,Software,Media,Pantalla congelada,203.58,M. Torres,Media,1.7,Operativo
R00400,EQ-007,2025-09-07,Preventivo,—,Programado,Mantenimiento preventivo programado,91.35,J. Ramírez,Baja,0.6,Operativo
R00427,EQ-007,2025-10-05,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,541.99,A. Flores,Alta,5.7,Operativo
R00438,EQ-007,2025-11-23,Correctivo,Software,Media,Falla en calibración digital,89.16,A. Flores,Media,7.3,En observación
R00401,EQ-007,2025-11-29,Preventivo,—,Programado,Mantenimiento preventivo programado,172.33,M. Torres,Baja,1.7,Operativo
R00431,EQ-007,2025-12-07,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,1131.19,J. Ramírez,Alta,6.8,Operativo
R00406,EQ-007,2026-02-24,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1410.49,J. Ramírez,Alta,6.9,Operativo
R00402,EQ-007,2026-03-03,Preventivo,—,Programado,Mantenimiento preventivo programado,143.75,L. Quispe,Baja,0.9,Operativo
R00445,EQ-007,2026-03-14,Correctivo,Software,Alta,Error de firmware,119.86,J. Ramírez,Alta,6.1,Operativo
R00418,EQ-007,2026-05-25,Correctivo,Mecánica,Baja,Falla en bomba peristáltica,1547.52,J. Ramírez,Baja,2.1,Operativo
R00414,EQ-007,2026-05-26,Correctivo,Eléctrica,Media,Falla en cargador,1126.14,A. Flores,Media,6.7,En observación
R00403,EQ-007,2026-05-31,Preventivo,—,Programado,Mantenimiento preventivo programado,102.18,J. Ramírez,Baja,0.6,Operativo
R00480,EQ-008,2022-01-25,Correctivo,Eléctrica,Alta,Falla en fuente de poder,102.77,L. Quispe,Alta,5.0,Operativo
R00446,EQ-008,2022-01-26,Preventivo,—,Programado,Mantenimiento preventivo programado,107.85,L. Quispe,Baja,0.8,Operativo
R00492,EQ-008,2022-02-09,Correctivo,Eléctrica,Baja,Batería agotada,215.47,J. Ramírez,Baja,7.7,En observación
R00483,EQ-008,2022-03-18,Correctivo,Calibración,Media,Desviación de medición,270.64,A. Flores,Media,1.6,En observación
R00487,EQ-008,2022-04-16,Correctivo,Desgaste,Media,Componente al final de vida útil,340.22,A. Flores,Media,6.8,Operativo
R00447,EQ-008,2022-04-18,Preventivo,—,Programado,Mantenimiento preventivo programado,141.37,A. Flores,Baja,1.2,Operativo
R00504,EQ-008,2022-06-16,Correctivo,Desgaste,Alta,Filtro saturado,498.21,L. Quispe,Alta,2.9,Operativo
R00502,EQ-008,2022-06-28,Correctivo,Eléctrica,Baja,Batería agotada,517.52,L. Quispe,Baja,3.5,Operativo
R00477,EQ-008,2022-07-03,Correctivo,Eléctrica,Alta,Falla en cargador,423.92,L. Quispe,Alta,6.3,Operativo
R00493,EQ-008,2022-07-09,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,860.42,L. Quispe,Alta,6.4,Operativo
R00448,EQ-008,2022-07-10,Preventivo,—,Programado,Mantenimiento preventivo programado,168.57,A. Flores,Baja,1.6,Operativo
R00503,EQ-008,2022-07-22,Correctivo,Software,Alta,Pantalla congelada,324.36,A. Flores,Alta,3.1,Operativo
R00449,EQ-008,2022-10-04,Preventivo,—,Programado,Mantenimiento preventivo programado,141.82,J. Ramírez,Baja,1.8,Operativo
R00475,EQ-008,2022-10-18,Correctivo,Software,Alta,Error de firmware,321.8,L. Quispe,Alta,1.7,Operativo
R00486,EQ-008,2022-11-25,Correctivo,Eléctrica,Alta,Falla en cargador,123.76,L. Quispe,Alta,6.9,Operativo
R00496,EQ-008,2023-01-01,Correctivo,Sensores,Media,Error de lectura de presión,954.1,A. Flores,Media,6.7,Operativo
R00472,EQ-008,2023-01-02,Correctivo,Eléctrica,Alta,Falla en fuente de poder,530.19,J. Ramírez,Alta,2.9,Operativo
R00450,EQ-008,2023-01-06,Preventivo,—,Programado,Mantenimiento preventivo programado,179.32,J. Ramírez,Baja,1.8,Operativo
R00495,EQ-008,2023-03-21,Correctivo,Software,Baja,Error de comunicación,241.79,J. Ramírez,Baja,3.8,Operativo
R00451,EQ-008,2023-04-01,Preventivo,—,Programado,Mantenimiento preventivo programado,64.35,A. Flores,Baja,1.3,Operativo
R00490,EQ-008,2023-04-26,Correctivo,Sensores,Alta,Error de lectura de presión,800.11,L. Quispe,Alta,1.8,Operativo
R00481,EQ-008,2023-05-07,Correctivo,Eléctrica,Baja,Falla en cargador,167.13,A. Flores,Baja,5.8,Operativo
R00452,EQ-008,2023-06-29,Preventivo,—,Programado,Mantenimiento preventivo programado,130.75,L. Quispe,Baja,1.1,Operativo
R00474,EQ-008,2023-09-13,Correctivo,Calibración,Alta,Ajuste de cero requerido,148.72,M. Torres,Alta,1.1,Operativo
R00453,EQ-008,2023-10-05,Preventivo,—,Programado,Mantenimiento preventivo programado,,L. Quispe,Baja,1.9,Operativo
R00484,EQ-008,2023-10-29,Correctivo,Eléctrica,Media,Cortocircuito en placa,257.21,L. Quispe,Media,1.9,Operativo
R00478,EQ-008,2023-11-26,Correctivo,Sensores,Alta,Termistor fuera de rango,225.72,A. Flores,Alta,5.9,Operativo
R00454,EQ-008,2023-12-28,Preventivo,—,Programado,Mantenimiento preventivo programado,151.37,A. Flores,Baja,2.0,Operativo
R00469,EQ-008,2024-01-05,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,214.25,J. Ramírez,Alta,6.0,Operativo
R00498,EQ-008,2024-02-29,Correctivo,Eléctrica,Baja,Batería agotada,230.2,L. Quispe,Baja,6.7,Operativo
R00464,EQ-008,2024-03-06,Correctivo,Desgaste,Baja,Acumulación de horas de uso,751.47,M. Torres,Baja,5.3,Operativo
R00466,EQ-008,2024-03-15,Correctivo,Desgaste,Alta,Componente al final de vida útil,743.25,J. Ramírez,Alta,2.6,En observación
R00455,EQ-008,2024-03-17,Preventivo,—,Programado,Mantenimiento preventivo programado,131.36,L. Quispe,Baja,1.3,Operativo
R00497,EQ-008,2024-04-12,Correctivo,Eléctrica,Media,Batería agotada,,L. Quispe,Media,4.8,Operativo
R00479,EQ-008,2024-06-12,Correctivo,Calibración,Alta,Calibración vencida,119.21,A. Flores,Alta,5.2,Operativo
R00456,EQ-008,2024-06-13,Preventivo,—,Programado,Mantenimiento preventivo programado,77.0,M. Torres,Baja,1.3,Operativo
R00468,EQ-008,2024-09-05,Correctivo,Sensores,Alta,Termistor fuera de rango,1193.34,M. Torres,Alta,1.1,En observación
R00457,EQ-008,2024-09-13,Preventivo,—,Programado,Mantenimiento preventivo programado,126.56,J. Ramírez,Baja,1.9,Operativo
R00471,EQ-008,2024-11-10,Correctivo,Sensores,Media,Sensor de flujo defectuoso,1086.59,J. Ramírez,Media,6.8,Operativo
R00458,EQ-008,2024-12-19,Preventivo,—,Programado,Mantenimiento preventivo programado,95.48,J. Ramírez,Baja,1.8,Operativo
R00459,EQ-008,2025-03-15,Preventivo,—,Programado,Mantenimiento preventivo programado,65.83,L. Quispe,Baja,1.3,Operativo
R00500,EQ-008,2025-04-03,Correctivo,Calibración,Media,Calibración vencida,133.23,J. Ramírez,Media,3.3,En observación
R00467,EQ-008,2025-04-28,Correctivo,Calibración,Alta,Calibración vencida,123.83,A. Flores,Alta,7.1,Operativo
R00473,EQ-008,2025-05-20,Correctivo,Eléctrica,Alta,Falla en cargador,400.56,J. Ramírez,Alta,4.6,Operativo
R00488,EQ-008,2025-06-12,Correctivo,Sensores,Baja,Error de lectura de presión,323.66,M. Torres,Baja,2.8,Operativo
R00460,EQ-008,2025-06-15,Preventivo,—,Programado,Mantenimiento preventivo programado,72.25,J. Ramírez,Baja,0.9,Operativo
R00501,EQ-008,2025-06-26,Correctivo,Calibración,Alta,Ajuste de cero requerido,213.12,L. Quispe,Alta,7.2,Operativo
R00461,EQ-008,2025-09-20,Preventivo,—,Programado,Mantenimiento preventivo programado,107.36,J. Ramírez,Baja,0.7,Operativo
R00465,EQ-008,2025-10-26,Correctivo,Eléctrica,Alta,Falla en cargador,212.72,A. Flores,Alta,3.9,Operativo
R00491,EQ-008,2025-11-19,Correctivo,Calibración,Media,Calibración vencida,201.5,L. Quispe,Media,2.0,Operativo
R00476,EQ-008,2025-12-17,Correctivo,Sensores,Alta,Error de lectura de presión,756.77,L. Quispe,Alta,7.2,Operativo
R00462,EQ-008,2025-12-19,Preventivo,—,Programado,Mantenimiento preventivo programado,76.82,A. Flores,Baja,1.2,Operativo
R00499,EQ-008,2026-01-16,Correctivo,Eléctrica,Alta,Batería agotada,256.55,L. Quispe,Alta,3.7,Operativo
R00482,EQ-008,2026-01-26,Correctivo,Calibración,Alta,Ajuste de cero requerido,202.81,M. Torres,Alta,4.6,Operativo
R00485,EQ-008,2026-02-11,Correctivo,Sensores,Media,Sensor de flujo defectuoso,704.04,M. Torres,Media,5.4,Operativo
R00470,EQ-008,2026-02-24,Correctivo,Sensores,Media,Sensor de flujo defectuoso,682.46,A. Flores,Media,6.4,Operativo
R00494,EQ-008,2026-02-27,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1129.67,A. Flores,Alta,1.3,Operativo
R00463,EQ-008,2026-03-17,Preventivo,—,Programado,Mantenimiento preventivo programado,110.91,L. Quispe,Baja,1.7,Operativo
R00489,EQ-008,2026-04-28,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,159.09,J. Ramírez,Alta,6.8,Operativo
R00544,EQ-009,2022-01-17,Correctivo,Mecánica,Alta,Obstrucción de circuito,1485.61,M. Torres,Alta,5.3,Operativo
R00505,EQ-009,2022-01-22,Preventivo,—,Programado,Mantenimiento preventivo programado,119.21,L. Quispe,Baja,1.7,Operativo
R00551,EQ-009,2022-02-04,Correctivo,Mecánica,Baja,Falla en bomba peristáltica,1752.86,M. Torres,Baja,6.3,Operativo
R00554,EQ-009,2022-03-05,Correctivo,Desgaste,Media,Acumulación de horas de uso,1129.94,L. Quispe,Media,6.9,Operativo
R00533,EQ-009,2022-04-23,Correctivo,Mecánica,Media,Holgura en soporte,340.06,L. Quispe,Media,3.8,En observación
R00506,EQ-009,2022-04-27,Preventivo,—,Programado,Mantenimiento preventivo programado,99.01,A. Flores,Baja,2.0,Operativo
R00561,EQ-009,2022-05-17,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1991.5,A. Flores,Alta,5.2,Operativo
R00507,EQ-009,2022-07-30,Preventivo,—,Programado,Mantenimiento preventivo programado,64.89,A. Flores,Baja,0.8,Operativo
R00508,EQ-009,2022-10-23,Preventivo,—,Programado,Mantenimiento preventivo programado,68.66,A. Flores,Baja,1.2,Operativo
R00546,EQ-009,2022-10-29,Correctivo,Mecánica,Baja,Falla en bomba peristáltica,823.64,L. Quispe,Baja,2.2,En observación
R00524,EQ-009,2022-11-06,Correctivo,Desgaste,Media,Acumulación de horas de uso,1183.99,J. Ramírez,Media,4.4,Operativo
R00540,EQ-009,2022-11-16,Correctivo,Desgaste,Alta,Filtro saturado,862.57,M. Torres,Alta,3.9,Operativo
R00548,EQ-009,2022-11-16,Correctivo,Software,Baja,Falla en calibración digital,652.2,A. Flores,Baja,4.5,Operativo
R00529,EQ-009,2022-11-30,Correctivo,Mecánica,Alta,Holgura en soporte,1039.43,J. Ramírez,Alta,1.1,Operativo
R00558,EQ-009,2022-12-01,Correctivo,Desgaste,Baja,Filtro saturado,615.28,J. Ramírez,Baja,4.8,Operativo
R00531,EQ-009,2022-12-03,Correctivo,Software,Media,Pantalla congelada,254.63,M. Torres,Media,7.8,Operativo
R00528,EQ-009,2022-12-30,Correctivo,Mecánica,Alta,Obstrucción de circuito,1391.8,M. Torres,Alta,3.7,En observación
R00535,EQ-009,2022-12-31,Correctivo,Eléctrica,Alta,Cortocircuito en placa,378.83,L. Quispe,Alta,2.7,Operativo
R00545,EQ-009,2023-01-11,Correctivo,Mecánica,Baja,Falla en bomba peristáltica,1310.78,J. Ramírez,Baja,7.7,Operativo
R00509,EQ-009,2023-01-19,Preventivo,—,Programado,Mantenimiento preventivo programado,115.1,L. Quispe,Baja,0.6,Operativo
R00536,EQ-009,2023-01-28,Correctivo,Sensores,Baja,Error de lectura de presión,1324.66,A. Flores,Baja,6.1,En observación
R00526,EQ-009,2023-03-04,Correctivo,Eléctrica,Media,Fusible quemado,1065.95,M. Torres,Media,3.8,Operativo
R00559,EQ-009,2023-04-09,Correctivo,Desgaste,Alta,Filtro saturado,618.66,A. Flores,Alta,1.7,Operativo
R00542,EQ-009,2023-04-15,Correctivo,Mecánica,Alta,Desgaste de válvula,1529.28,M. Torres,Alta,2.6,En observación
R00510,EQ-009,2023-04-18,Preventivo,—,Programado,Mantenimiento preventivo programado,178.81,L. Quispe,Baja,1.0,Operativo
R00555,EQ-009,2023-05-07,Correctivo,Sensores,Media,Error de lectura de presión,1072.96,M. Torres,Media,6.6,Operativo
R00549,EQ-009,2023-05-29,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,1914.37,A. Flores,Alta,5.1,En observación
R00511,EQ-009,2023-07-18,Preventivo,—,Programado,Mantenimiento preventivo programado,97.03,M. Torres,Baja,1.8,Operativo
R00550,EQ-009,2023-08-24,Correctivo,Sensores,Baja,Termistor fuera de rango,607.35,J. Ramírez,Baja,6.2,Operativo
R00512,EQ-009,2023-10-19,Preventivo,—,Programado,Mantenimiento preventivo programado,88.56,L. Quispe,Baja,1.7,Operativo
R00562,EQ-009,2023-11-23,Correctivo,Desgaste,Media,Componente al final de vida útil,408.2,L. Quispe,Media,2.9,Operativo
R00532,EQ-009,2024-01-04,Correctivo,Mecánica,Media,Falla en bomba peristáltica,1545.73,A. Flores,Media,2.5,En observación
R00547,EQ-009,2024-01-04,Correctivo,Desgaste,Alta,Componente al final de vida útil,240.07,J. Ramírez,Alta,6.2,Operativo
R00513,EQ-009,2024-01-24,Preventivo,—,Programado,Mantenimiento preventivo programado,175.18,M. Torres,Baja,1.4,Operativo
R00514,EQ-009,2024-04-19,Preventivo,—,Programado,Mantenimiento preventivo programado,61.71,A. Flores,Baja,1.3,Operativo
R00537,EQ-009,2024-06-17,Correctivo,Eléctrica,Media,Fusible quemado,368.19,M. Torres,Media,1.9,En observación
R00538,EQ-009,2024-06-29,Correctivo,Mecánica,Baja,Holgura en soporte,1052.93,M. Torres,Baja,7.5,En observación
R00515,EQ-009,2024-07-25,Preventivo,—,Programado,Mantenimiento preventivo programado,78.48,M. Torres,Baja,0.7,Operativo
R00541,EQ-009,2024-08-03,Correctivo,Mecánica,Alta,Rotura de manguera,1402.32,A. Flores,Alta,3.9,Operativo
R00516,EQ-009,2024-10-23,Preventivo,—,Programado,Mantenimiento preventivo programado,81.33,A. Flores,Baja,1.2,Operativo
R00517,EQ-009,2025-01-23,Preventivo,—,Programado,Mantenimiento preventivo programado,70.84,J. Ramírez,Baja,0.6,Operativo
R00560,EQ-009,2025-02-15,Correctivo,Eléctrica,Alta,Falla en fuente de poder,719.04,M. Torres,Alta,7.1,Operativo
R00527,EQ-009,2025-02-16,Correctivo,Mecánica,Media,Desgaste de válvula,1755.26,M. Torres,Media,1.4,Operativo
R00518,EQ-009,2025-04-25,Preventivo,—,Programado,Mantenimiento preventivo programado,89.9,M. Torres,Baja,1.2,Operativo
R00539,EQ-009,2025-06-12,Correctivo,Software,Alta,Pantalla congelada,167.84,M. Torres,Alta,3.6,En observación
R00523,EQ-009,2025-06-26,Correctivo,Eléctrica,Alta,Cortocircuito en placa,963.81,A. Flores,Alta,5.8,Operativo
R00557,EQ-009,2025-07-07,Correctivo,Mecánica,Alta,Desgaste de válvula,1504.98,J. Ramírez,Alta,6.6,Operativo
R00519,EQ-009,2025-07-15,Preventivo,—,Programado,Mantenimiento preventivo programado,172.51,M. Torres,Baja,0.9,Operativo
R00552,EQ-009,2025-09-21,Correctivo,Mecánica,Alta,Rotura de manguera,1717.82,M. Torres,Alta,6.4,Operativo
R00520,EQ-009,2025-10-17,Preventivo,—,Programado,Mantenimiento preventivo programado,133.37,M. Torres,Baja,1.9,Operativo
R00534,EQ-009,2025-10-21,Correctivo,Software,Alta,Error de firmware,576.76,L. Quispe,Alta,7.2,Operativo
R00556,EQ-009,2025-12-11,Correctivo,Mecánica,Alta,Falla en bomba peristáltica,737.99,A. Flores,Alta,5.4,Operativo
R00521,EQ-009,2026-01-07,Preventivo,—,Programado,Mantenimiento preventivo programado,130.38,J. Ramírez,Baja,1.5,Operativo
R00530,EQ-009,2026-01-22,Correctivo,Eléctrica,Alta,Falla en fuente de poder,1181.74,M. Torres,Alta,4.7,Operativo
R00553,EQ-009,2026-01-31,Correctivo,Mecánica,Alta,Desgaste de válvula,,L. Quispe,Alta,4.3,Operativo
R00522,EQ-009,2026-04-16,Preventivo,—,Programado,Mantenimiento preventivo programado,176.16,A. Flores,Baja,1.6,Operativo
R00543,EQ-009,2026-04-20,Correctivo,Software,Alta,Falla en calibración digital,254.62,A. Flores,Alta,3.4,Operativo
R00525,EQ-009,2026-05-22,Correctivo,Sensores,Alta,Termistor fuera de rango,1966.29,L. Quispe,Alta,3.4,En observación
R00563,EQ-010,2022-01-04,Preventivo,—,Programado,Mantenimiento preventivo programado,60.62,M. Torres,Baja,0.9,Operativo
R00595,EQ-010,2022-02-24,Correctivo,Sensores,Media,Sensor de flujo defectuoso,887.71,J. Ramírez,Media,5.1,En observación
R00564,EQ-010,2022-03-29,Preventivo,—,Programado,Mantenimiento preventivo programado,158.52,M. Torres,Baja,1.4,Operativo
R00615,EQ-010,2022-04-12,Correctivo,Sensores,Media,Sensor de flujo defectuoso,629.42,L. Quispe,Media,5.2,Operativo
R00589,EQ-010,2022-04-23,Correctivo,Calibración,Media,Desviación de medición,144.12,M. Torres,Media,7.7,Operativo
R00565,EQ-010,2022-07-05,Preventivo,—,Programado,Mantenimiento preventivo programado,63.71,M. Torres,Baja,1.3,Operativo
R00584,EQ-010,2022-08-12,Correctivo,Sensores,Alta,Error de lectura de presión,490.22,A. Flores,Alta,1.1,Operativo
R00566,EQ-010,2022-09-23,Preventivo,—,Programado,Mantenimiento preventivo programado,110.92,L. Quispe,Baja,0.9,Operativo
R00609,EQ-010,2022-09-23,Correctivo,Calibración,Alta,Desviación de medición,297.73,M. Torres,Alta,3.0,Operativo
R00593,EQ-010,2022-10-24,Correctivo,Eléctrica,Baja,Batería agotada,,M. Torres,Baja,2.8,En observación
R00603,EQ-010,2022-11-14,Correctivo,Software,Baja,Pantalla congelada,245.47,J. Ramírez,Baja,6.2,Operativo
R00588,EQ-010,2022-12-08,Correctivo,Eléctrica,Media,Falla en cargador,119.34,L. Quispe,Media,5.4,Operativo
R00567,EQ-010,2022-12-30,Preventivo,—,Programado,Mantenimiento preventivo programado,97.42,M. Torres,Baja,0.9,Operativo
R00587,EQ-010,2023-03-12,Correctivo,Sensores,Media,Sensor SpO2 descalibrado,877.45,A. Flores,Media,3.1,Operativo
R00568,EQ-010,2023-03-22,Preventivo,—,Programado,Mantenimiento preventivo programado,139.83,A. Flores,Baja,1.2,Operativo
R00613,EQ-010,2023-04-27,Correctivo,Calibración,Media,Calibración vencida,288.81,L. Quispe,Media,5.1,En observación
R00569,EQ-010,2023-06-21,Preventivo,—,Programado,Mantenimiento preventivo programado,142.31,A. Flores,Baja,1.8,Operativo
R00604,EQ-010,2023-09-01,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,748.04,L. Quispe,Alta,5.7,Operativo
R00570,EQ-010,2023-09-26,Preventivo,—,Programado,Mantenimiento preventivo programado,123.15,J. Ramírez,Baja,1.9,Operativo
R00598,EQ-010,2023-10-29,Correctivo,Sensores,Media,Termistor fuera de rango,612.52,A. Flores,Media,7.9,Operativo
R00591,EQ-010,2023-11-24,Correctivo,Eléctrica,Baja,Falla en fuente de poder,127.13,L. Quispe,Baja,1.1,En observación
R00571,EQ-010,2023-12-30,Preventivo,—,Programado,Mantenimiento preventivo programado,,J. Ramírez,Baja,1.3,Operativo
R00583,EQ-010,2024-02-02,Correctivo,Eléctrica,Media,Falla en fuente de poder,443.58,L. Quispe,Media,5.2,Operativo
R00612,EQ-010,2024-02-19,Correctivo,Eléctrica,Baja,Falla en cargador,371.68,M. Torres,Baja,4.5,En observación
R00607,EQ-010,2024-03-03,Correctivo,Desgaste,Alta,Acumulación de horas de uso,436.88,J. Ramírez,Alta,5.8,Operativo
R00592,EQ-010,2024-03-05,Correctivo,Desgaste,Baja,Acumulación de horas de uso,235.18,L. Quispe,Baja,2.5,En observación
R00617,EQ-010,2024-03-06,Correctivo,Sensores,Media,Error de lectura de presión,848.06,L. Quispe,Media,4.8,Operativo
R00572,EQ-010,2024-03-30,Preventivo,—,Programado,Mantenimiento preventivo programado,,A. Flores,Baja,0.9,Operativo
R00605,EQ-010,2024-05-23,Correctivo,Sensores,Media,Termistor fuera de rango,163.71,J. Ramírez,Media,2.4,Operativo
R00573,EQ-010,2024-06-25,Preventivo,—,Programado,Mantenimiento preventivo programado,171.73,L. Quispe,Baja,0.7,Operativo
R00582,EQ-010,2024-07-11,Correctivo,Sensores,Alta,Termistor fuera de rango,1196.48,A. Flores,Alta,1.8,En observación
R00596,EQ-010,2024-07-24,Correctivo,Eléctrica,Media,Fusible quemado,169.8,L. Quispe,Media,5.2,Operativo
R00614,EQ-010,2024-08-09,Correctivo,Calibración,Baja,Ajuste de cero requerido,177.37,L. Quispe,Baja,7.6,Operativo
R00586,EQ-010,2024-08-29,Correctivo,Software,Alta,Pantalla congelada,121.54,M. Torres,Alta,7.3,Operativo
R00574,EQ-010,2024-09-26,Preventivo,—,Programado,Mantenimiento preventivo programado,62.11,M. Torres,Baja,1.5,Operativo
R00606,EQ-010,2024-10-26,Correctivo,Sensores,Media,Termistor fuera de rango,848.27,L. Quispe,Media,1.5,Operativo
R00575,EQ-010,2024-12-15,Preventivo,—,Programado,Mantenimiento preventivo programado,62.95,A. Flores,Baja,1.9,Operativo
R00576,EQ-010,2025-03-22,Preventivo,—,Programado,Mantenimiento preventivo programado,86.42,J. Ramírez,Baja,1.0,Operativo
R00611,EQ-010,2025-03-30,Correctivo,Eléctrica,Media,Cortocircuito en placa,508.12,J. Ramírez,Media,3.8,En observación
R00594,EQ-010,2025-05-01,Correctivo,Calibración,Media,Ajuste de cero requerido,217.78,M. Torres,Media,2.3,Operativo
R00601,EQ-010,2025-05-02,Correctivo,Desgaste,Media,Acumulación de horas de uso,134.26,J. Ramírez,Media,2.5,Operativo
R00600,EQ-010,2025-06-02,Correctivo,Software,Media,Falla en calibración digital,5.91,L. Quispe,Media,1.2,Operativo
R00577,EQ-010,2025-06-17,Preventivo,—,Programado,Mantenimiento preventivo programado,130.66,J. Ramírez,Baja,0.7,Operativo
R00610,EQ-010,2025-07-16,Correctivo,Calibración,Alta,Ajuste de cero requerido,105.43,M. Torres,Alta,5.5,Operativo
R00616,EQ-010,2025-08-02,Correctivo,Calibración,Media,Ajuste de cero requerido,274.12,A. Flores,Media,4.5,Operativo
R00578,EQ-010,2025-09-21,Preventivo,—,Programado,Mantenimiento preventivo programado,132.25,A. Flores,Baja,1.3,Operativo
R00590,EQ-010,2025-12-05,Correctivo,Eléctrica,Alta,Cortocircuito en placa,112.84,J. Ramírez,Alta,2.6,Operativo
R00579,EQ-010,2025-12-11,Preventivo,—,Programado,Mantenimiento preventivo programado,69.47,J. Ramírez,Baja,1.3,Operativo
R00585,EQ-010,2026-02-16,Correctivo,Eléctrica,Alta,Batería agotada,566.07,J. Ramírez,Alta,3.8,En observación
R00599,EQ-010,2026-02-22,Correctivo,Sensores,Media,Sensor de flujo defectuoso,1169.44,M. Torres,Media,5.9,Operativo
R00580,EQ-010,2026-03-19,Preventivo,—,Programado,Mantenimiento preventivo programado,107.1,L. Quispe,Baja,0.7,Operativo
R00608,EQ-010,2026-04-03,Correctivo,Eléctrica,Alta,Fusible quemado,355.45,A. Flores,Alta,1.9,Operativo
R00597,EQ-010,2026-04-05,Correctivo,Sensores,Alta,Sensor SpO2 descalibrado,428.01,J. Ramírez,Alta,4.1,Operativo
R00602,EQ-010,2026-05-08,Correctivo,Calibración,Baja,Ajuste de cero requerido,185.11,L. Quispe,Baja,5.9,Operativo
R00581,EQ-010,2026-05-16,Correctivo,Software,Media,Falla en calibración digital,259.56,A. Flores,Media,7.5,Operativo
R00618,EQ-011,2022-01-26,Preventivo,—,Programado,Mantenimiento preventivo programado,103.42,J. Ramírez,Baja,0.8,Operativo
R00638,EQ-011,2022-04-18,Correctivo,Calibración,Alta,Ajuste de cero requerido,122.83,L. Quispe,Alta,6.0,Operativo
